순번,단지명,회사명,공장대표주소(도로명),공장대표주소(지번),업종번호,업종명,업종분류,전화번호,팩스번호,남종업원,여종업원,외국인(남),외국인(여),종업원수,생산품,용지면적,제조시설면적,부대시설면적,건축면적
1,진주상평일반산업단지,디와이이엔지,"경상남도 진주시 동진로 290(상대동, 호림철강)",경상남도 진주시 상대동 33-87 호림철강,"30320, ",자동차 차체용 신품 부품 제조업,"자동차, 운송장비",055-761-8172,공람,4,6,0,0,10,자동차 부품,877.8,811.8,66,877.8
2,진주상평일반산업단지,(유)동양프라스틱,경상남도 진주시 동진로264번길 12 (상대동) 외 1필지,경상남도 진주시 상대2동 313-2번지 외 1필지,"22232, ",포장용 플라스틱 성형용기 제조업,"석유화학, 플라스틱",055-762-4588,055-757-1438,8,5,0,0,13,육묘상자,1858.2,645.41,0,645.41
3,진주상평일반산업단지,(유)유창이엔지,경상남도 진주시 돗골로58번길 19 (상평동),경상남도 진주시 상평동 201-4번지,"29210, ",농업 및 임업용 기계 제조업,"금속가공, 기계",055-753-9396,055-753-1036,3,1,0,0,4,농기계부품,1322.3,629,171.64,800.64
4,진주상평일반산업단지,(유)화신테크,경상남도 진주시 남강로 1273 (상평동),경상남도 진주시 상평동 55-39번지,"23222, 23232",위생용 및 산업용 도자기 제조업 외 1 종,비금속,055-755-6811,055-755-2288,15,5,0,0,20,"수전금구, 가공타일 등",15724,7180.98,1779,8959.98
5,진주상평일반산업단지,(주)경남레이저산업,경상남도 진주시 공단로236번길 19-1 (상평동),경상남도 진주시 상평동 55-80,"25929, ",그 외 기타 금속가공업,"금속가공, 기계",055-752-9902,공람,10,2,8,0,20,전동기부품,1636,1238.4,0,1238.4
6,진주상평일반산업단지,(주)경남철공,경상남도 진주시 공단로 80 (상평동),경상남도 진주시 상평동 222-10번지,"25112, ",구조용 금속 판제품 및 공작물 제조업,"금속가공, 기계",055-752-3205,055-758-3205,7,1,0,0,8,철구조물,1818.2,242,22,264
7,진주상평일반산업단지,(주)경서,경상남도 진주시 공단로 237 (상평동),경상남도 진주시 상평동 55-50번지,"13300, ",편조원단 제조업,"섬유, 의복",055-752-2527,055-753-3060,6,16,0,0,22,환자복제조,3275,652.53,414.84,1067.37
8,진주상평일반산업단지,(주)경일파츠테크,경상남도 진주시 동진로 326 (상대동),경상남도 진주시 상대동 33-141번지,"30400, 30202",자동차 재제조 부품 제조업 외 1 종,"자동차, 운송장비",15222118,공람,5,1,0,0,6,"재제조부품, 제작차",0,812.5,0,812.5
9,진주상평일반산업단지,(주)굿링크,경상남도 진주시 동진로 307 (상대동),경상남도 진주시 상대동 33-171번지,"28903, 26211, 26310, 26410, 26421, 26519, 27215, 28123, 28423",교통 신호장치 제조업 외 8 종,"전기, 전자",055-742-0090,055-748-4168,36,3,0,0,39,"교통신호장치, 영상감시장치, 보안용 카메라, 영상감시 장치, 통합배선반",1312,661.17,342.17,1003.34
10,진주상평일반산업단지,(주)극동스틸,"경상남도 진주시 남강로1317번길 6 (상평동, 상평동 55-116 공장 (주식회사극동스틸)) 외 1필지",경상남도 진주시 상평동 55-116번지 상평동 55-116 공장 (주식회사극동스틸) 외 1필지,"25924, ",절삭가공 및 유사처리업,"금속가공, 기계",055-758-4200,055-758-0990,7,2,2,0,11,중장비부품,2366,1763.47,115.04,1878.51
